max_iter,neighbor,avg_fitness,std_fitness,avg_iter,avg_time,fitness_scores,fitness_hists
6,swap_mutation,39358.0,2647.01,6.0,0.6,"[38600.0, 43400.0, 40300.0, 40800.0, 36200.0, 43500.0, 39700.0, 38400.0, 39600.0, 38100.0, 37100.0, 39800.0, 40500.0, 42400.0, 38000.0, 38000.0, 35200.0, 39700.0, 39500.0, 41200.0, 36700.0, 43200.0, 36300.0, 45000.0, 36100.0, 37500.0, 37000.0, 37400.0, 36700.0, 39600.0, 35600.0, 36100.0, 34800.0, 36100.0, 43000.0, 40400.0, 38300.0, 40100.0, 42100.0, 41500.0, 35900.0, 42800.0, 39800.0, 37100.0, 38200.0, 41400.0, 39600.0, 35900.0, 44400.0, 41900.0, 41500.0, 39400.0, 37200.0, 40000.0, 41900.0, 38300.0, 35500.0, 44800.0, 42700.0, 36700.0, 40300.0, 34000.0, 38800.0, 38600.0, 44000.0, 38200.0, 40700.0, 38800.0, 41900.0, 39400.0, 45700.0, 40900.0, 40100.0, 40000.0, 39900.0, 39500.0, 38400.0, 44200.0, 37600.0, 39000.0, 43800.0, 39400.0, 39800.0, 35700.0, 36000.0, 36800.0, 35100.0, 37500.0, 36300.0, 40900.0, 36000.0, 35800.0, 39000.0, 39100.0, 42700.0, 39400.0, 41100.0, 40300.0, 39100.0, 43500.0]","[12150.0, 18350.0, 23300.0, 27450.0, 31750.0, 35750.0, 39400.0]"
100,swap_mutation,75220.0,2818.32,24.87,2.68,"[78900.0, 77900.0, 78900.0, 77200.0, 75200.0, 75400.0, 74000.0, 73600.0, 76200.0, 71700.0, 71700.0, 80900.0, 75800.0, 69800.0, 72200.0, 74300.0, 73600.0, 73600.0, 76600.0, 73600.0, 78900.0, 76000.0, 75800.0, 70800.0, 69500.0, 75700.0, 75600.0, 79000.0, 77000.0, 77200.0]","[10750.0, 17250.0, 22050.0, 26500.0, 30450.0, 34600.0, 38150.0, 41600.0, 45000.0, 47900.0, 50950.0, 53900.0, 56800.0, 59650.0, 62350.0, 64450.0, 66400.0, 68450.0, 69650.0, 70500.0, 71650.0, 72700.0, 73300.0, 73750.0, 74000.0, 75600.0, 75650.0, 75650.0, 75650.0, 75650.0, 75650.0, 75650.0, 75650.0]"
