max_iter,L,neighbor,k,C,H,avg_fitness,std_fitness,avg_iter,avg_time,fitness_scores,fitness_list,fitness_median
100,50,scramble_mutation_optimized,2.0,200,1.3,72613.33,2203.59,88.97,0.3,"[73900.0, 71400.0, 72800.0, 71800.0, 71300.0, 73900.0, 69600.0, 72500.0, 69900.0, 73800.0, 72600.0, 71300.0, 74700.0, 73100.0, 73600.0, 73800.0, 75800.0, 73300.0, 76000.0, 71100.0, 72700.0, 73200.0, 73000.0, 73700.0, 74600.0, 74900.0, 72900.0, 65900.0, 67200.0, 74100.0]","[73900.0, 71400.0, 72800.0, 71800.0, 71300.0, 73900.0, 69600.0, 72500.0, 69900.0, 73800.0, 72600.0, 71300.0, 74700.0, 73100.0, 73600.0, 73800.0, 75800.0, 73300.0, 76000.0, 71100.0, 72700.0, 73200.0, 73000.0, 73700.0, 74600.0, 74900.0, 72900.0, 65900.0, 67200.0, 74100.0]",73050.0
100,50,scramble_mutation_optimized,2.0,200,1.1,72603.33,2550.36,91.33,0.31,"[77700.0, 70100.0, 70200.0, 72000.0, 72900.0, 72700.0, 76300.0, 74000.0, 66600.0, 75000.0, 73500.0, 71000.0, 74800.0, 72000.0, 71000.0, 65700.0, 73400.0, 70700.0, 75700.0, 71200.0, 72600.0, 74500.0, 74600.0, 69200.0, 73100.0, 73600.0, 73100.0, 74000.0, 72900.0, 74000.0]","[77700.0, 70100.0, 70200.0, 72000.0, 72900.0, 72700.0, 76300.0, 74000.0, 66600.0, 75000.0, 73500.0, 71000.0, 74800.0, 72000.0, 71000.0, 65700.0, 73400.0, 70700.0, 75700.0, 71200.0, 72600.0, 74500.0, 74600.0, 69200.0, 73100.0, 73600.0, 73100.0, 74000.0, 72900.0, 74000.0]",73000.0
100,50,scramble_mutation_optimized,3.0,200,1.3,73040.0,2498.61,86.9,0.3,"[71900.0, 72500.0, 74500.0, 69500.0, 73000.0, 69900.0, 72800.0, 74200.0, 74600.0, 72900.0, 74600.0, 71300.0, 70800.0, 73000.0, 74900.0, 70000.0, 77200.0, 76400.0, 71100.0, 78200.0, 72800.0, 71400.0, 72700.0, 76600.0, 77300.0, 67300.0, 72000.0, 70700.0, 72700.0, 74400.0]","[71900.0, 72500.0, 74500.0, 69500.0, 73000.0, 69900.0, 72800.0, 74200.0, 74600.0, 72900.0, 74600.0, 71300.0, 70800.0, 73000.0, 74900.0, 70000.0, 77200.0, 76400.0, 71100.0, 78200.0, 72800.0, 71400.0, 72700.0, 76600.0, 77300.0, 67300.0, 72000.0, 70700.0, 72700.0, 74400.0]",72800.0
100,50,scramble_mutation_optimized,2.0,10,1.2,72573.33,2810.21,88.6,0.3,"[72800.0, 69900.0, 75000.0, 71400.0, 76300.0, 72700.0, 72100.0, 74500.0, 71700.0, 77000.0, 74100.0, 68400.0, 69100.0, 74600.0, 72000.0, 67100.0, 68200.0, 69400.0, 76000.0, 74900.0, 75400.0, 72800.0, 69600.0, 75000.0, 74600.0, 72900.0, 72700.0, 74700.0, 66900.0, 75400.0]","[72800.0, 69900.0, 75000.0, 71400.0, 76300.0, 72700.0, 72100.0, 74500.0, 71700.0, 77000.0, 74100.0, 68400.0, 69100.0, 74600.0, 72000.0, 67100.0, 68200.0, 69400.0, 76000.0, 74900.0, 75400.0, 72800.0, 69600.0, 75000.0, 74600.0, 72900.0, 72700.0, 74700.0, 66900.0, 75400.0]",72800.0
100,50,scramble_mutation_optimized,3.0,100,1.2,72280.0,2595.56,85.93,0.3,"[70400.0, 75000.0, 73600.0, 72700.0, 69500.0, 70800.0, 68100.0, 77100.0, 72400.0, 73000.0, 74500.0, 71500.0, 66700.0, 73400.0, 75700.0, 76900.0, 70200.0, 71600.0, 71100.0, 72800.0, 74400.0, 69500.0, 74900.0, 74600.0, 73500.0, 72700.0, 68800.0, 73000.0, 67600.0, 72400.0]","[70400.0, 75000.0, 73600.0, 72700.0, 69500.0, 70800.0, 68100.0, 77100.0, 72400.0, 73000.0, 74500.0, 71500.0, 66700.0, 73400.0, 75700.0, 76900.0, 70200.0, 71600.0, 71100.0, 72800.0, 74400.0, 69500.0, 74900.0, 74600.0, 73500.0, 72700.0, 68800.0, 73000.0, 67600.0, 72400.0]",72700.0
100,50,scramble_mutation_optimized,2.0,100,1.01,72406.67,2563.97,88.53,0.3,"[72000.0, 74400.0, 75400.0, 74300.0, 67700.0, 73700.0, 70400.0, 77000.0, 75200.0, 67300.0, 74500.0, 69100.0, 70000.0, 73500.0, 72900.0, 70200.0, 72000.0, 72800.0, 72500.0, 72600.0, 73600.0, 70800.0, 74500.0, 68400.0, 73700.0, 71900.0, 73600.0, 68700.0, 77700.0, 71800.0]","[72000.0, 74400.0, 75400.0, 74300.0, 67700.0, 73700.0, 70400.0, 77000.0, 75200.0, 67300.0, 74500.0, 69100.0, 70000.0, 73500.0, 72900.0, 70200.0, 72000.0, 72800.0, 72500.0, 72600.0, 73600.0, 70800.0, 74500.0, 68400.0, 73700.0, 71900.0, 73600.0, 68700.0, 77700.0, 71800.0]",72700.0
100,50,scramble_mutation_optimized,2.0,200,1.2,72416.67,2203.19,90.8,0.31,"[74700.0, 69500.0, 76700.0, 70400.0, 73000.0, 73200.0, 74000.0, 74200.0, 74300.0, 73500.0, 68700.0, 72700.0, 72700.0, 73400.0, 72000.0, 70800.0, 76600.0, 72700.0, 71400.0, 73100.0, 70600.0, 73800.0, 74600.0, 74600.0, 66800.0, 71100.0, 71000.0, 70600.0, 69600.0, 72200.0]","[74700.0, 69500.0, 76700.0, 70400.0, 73000.0, 73200.0, 74000.0, 74200.0, 74300.0, 73500.0, 68700.0, 72700.0, 72700.0, 73400.0, 72000.0, 70800.0, 76600.0, 72700.0, 71400.0, 73100.0, 70600.0, 73800.0, 74600.0, 74600.0, 66800.0, 71100.0, 71000.0, 70600.0, 69600.0, 72200.0]",72700.0
100,50,scramble_mutation_optimized,2.0,1,1.3,72650.0,2558.61,89.4,0.31,"[71800.0, 70400.0, 75000.0, 75300.0, 75500.0, 71400.0, 67900.0, 73100.0, 70500.0, 74300.0, 74100.0, 76100.0, 71900.0, 72300.0, 76100.0, 74800.0, 75000.0, 71900.0, 72300.0, 70300.0, 73100.0, 69100.0, 77100.0, 74800.0, 68100.0, 69300.0, 73800.0, 70200.0, 69000.0, 75000.0]","[71800.0, 70400.0, 75000.0, 75300.0, 75500.0, 71400.0, 67900.0, 73100.0, 70500.0, 74300.0, 74100.0, 76100.0, 71900.0, 72300.0, 76100.0, 74800.0, 75000.0, 71900.0, 72300.0, 70300.0, 73100.0, 69100.0, 77100.0, 74800.0, 68100.0, 69300.0, 73800.0, 70200.0, 69000.0, 75000.0]",72700.0
100,50,scramble_mutation_optimized,2.0,10,1.1,72390.0,1989.7,87.73,0.3,"[72900.0, 71400.0, 73400.0, 73000.0, 74000.0, 73100.0, 70400.0, 70800.0, 71500.0, 74500.0, 73900.0, 72800.0, 68800.0, 74600.0, 70600.0, 73200.0, 72700.0, 72100.0, 70500.0, 69100.0, 77100.0, 74400.0, 74600.0, 75700.0, 69500.0, 71400.0, 72700.0, 71400.0, 72400.0, 69200.0]","[72900.0, 71400.0, 73400.0, 73000.0, 74000.0, 73100.0, 70400.0, 70800.0, 71500.0, 74500.0, 73900.0, 72800.0, 68800.0, 74600.0, 70600.0, 73200.0, 72700.0, 72100.0, 70500.0, 69100.0, 77100.0, 74400.0, 74600.0, 75700.0, 69500.0, 71400.0, 72700.0, 71400.0, 72400.0, 69200.0]",72700.0
100,50,scramble_mutation_optimized,3.0,100,1.3,72176.67,2343.03,92.77,0.32,"[72500.0, 73900.0, 71700.0, 69200.0, 72400.0, 74100.0, 72900.0, 69700.0, 73500.0, 73800.0, 76700.0, 71800.0, 69700.0, 71100.0, 77200.0, 74600.0, 71500.0, 66600.0, 73500.0, 74000.0, 73400.0, 70000.0, 73000.0, 69800.0, 67800.0, 73300.0, 71300.0, 73700.0, 72800.0, 69800.0]","[72500.0, 73900.0, 71700.0, 69200.0, 72400.0, 74100.0, 72900.0, 69700.0, 73500.0, 73800.0, 76700.0, 71800.0, 69700.0, 71100.0, 77200.0, 74600.0, 71500.0, 66600.0, 73500.0, 74000.0, 73400.0, 70000.0, 73000.0, 69800.0, 67800.0, 73300.0, 71300.0, 73700.0, 72800.0, 69800.0]",72650.0
